drug_id,drug_name,atc_code
CID100003364,Flucloxacillin,J01CF05
CID100003365,Fluconazole,D01AC15
CID100003365,Fluconazole,J02AC01
CID100003366,5-Fluorocytosine,D01AE21
CID100003366,5-Fluorocytosine,J02AX01
CID100003367,Fludarabine,L01BB05
CID100003368,Famp,
CID100003370,Fludrocortisone,
CID100003372,Fluphenazine,N05AB02
CID100003373,Flumazenil,V03AB25
CID100003375,Flumethasone,D07AB03
CID100003375,Flumethasone,D07AC10
CID100003375,Flumethasone,D07XB01
CID100003379,Flunisolide,R01AD04
CID100003379,Flunisolide,R03BA03
CID100003380,Flunitrazepam,N05CD03
CID100003381,Fluocinolone,C05AA10
CID100003381,Fluocinolone,D07AC04
CID100003381,Fluocinolone,S01BA15
CID100003381,Fluocinolone,S02BA08
CID100003382,Fluocinonide,C05AA11
CID100003382,Fluocinonide,D07AC08
CID100003384,Fluorometholone,C05AA06
CID100003384,Fluorometholone,D07AB06
CID100003384,Fluorometholone,D07XB04
CID100003384,Fluorometholone,D10AA01
CID100003384,Fluorometholone,S01BA07
CID100003384,Fluorometholone,S01CB05
CID100003385,5-Fu,L01BC02
CID100003386,Fluoxetine,N06AB03
CID100003387,Fluoxymesterone,G03BA01
CID100003388,Fluphenazine,
CID100003392,Flurandrenolone,D07AC07
CID100003393,Flurazepam,N05CD01
CID100003394,Flurbiprofen,M01AE09
CID100003394,Flurbiprofen,M02AA19
CID100003394,Flurbiprofen,R02AX01
CID100003394,Flurbiprofen,S01BC04
CID100003397,Flutamide,L02BB01
CID100003399,Fluticasone,
CID100003403,Fluvastatin,C10AA04
CID100003404,Fluvoxamine,N06AB08
CID100003405,Folate,B03BB01
CID100003406,4-Methylpyrazole,V03AB34
CID100003410,Formoterol,R03AC13
CID100003414,Foscarnet,J05AD01
CID100003417,Fosfomycin,J01XX01
CID100003419,Fosinopril,C09AA09
CID100003425,Romidepsin,L01XX39
CID100003440,Furosemide,C03CA01
CID100003443,Fusidic,D06AX01
CID100003443,Fusidic,D09AA02
CID100003443,Fusidic,J01XC01
CID100003443,Fusidic,S01AA13
CID100003446,Gabapentin,N03AX12
CID100003449,Galantamine,N06DA04
CID100003454,Ganciclovir,J05AB06
CID100003454,Ganciclovir,S01AD09
CID100003461,Gemcitabine,L01BC05
CID100003462,Gemeprost,G02AD03
CID100003463,Gemfibrozil,C10AB04
CID100003467,Gentamicin,D06AX07
CID100003467,Gentamicin,J01GB03
CID100003467,Gentamicin,S01AA11
CID100003467,Gentamicin,S02AA14
CID100003467,Gentamicin,S03AA06
CID100003475,Gliclazide,A10BB09
CID100003476,Glimepiride,A10BB12
CID100003478,Glipizide,A10BB07
CID100003488,Glibenclamide,A10BB01
CID100003494,Glycopyrrolate,A03AB02
CID100003510,Granisetron,A04AA02
