drug_name,gene,level_of_evidence
Venlafaxine,GABRQ,3
Metoprolol,CYP2D6,3
"Mirtazapine,Venlafaxine",TPH2,3
"Citalopram,Fluoxetine",GSK3B,3
Lithium,CACNG2,3
Antidepressants,FKBP5,3
Zoledronate,FDPS,3
"Antidepressants,Selective Serotonin Reuptake Inhibitors,Venlafaxine",GABRA6,3
"Antidepressants,Selective Serotonin Reuptake Inhibitors,Venlafaxine",GABRP,3
"Antidepressants,Selective Serotonin Reuptake Inhibitors,Venlafaxine",GRIA3,3
"Antidepressants,Benzodiazepine Derivatives,Mirtazapine,Selective Serotonin Reuptake Inhibitors",GAL,3
"Escitalopram,Nortriptyline",BDNF,3
Cangrelor,P2RY12,3
Lithium,CRY1,3
"Amitriptyline,Citalopram,Paroxetine,Venlafaxine",ABCB1,3
Lithium,DRD1,3
Lithium,GSK3B,3
Lithium,,3
Lithium,"OR52J2P,OR52J3",3
"Citalopram,Escitalopram",,3
"Cisplatin,Cyclophosphamide",GSTM3,3
Mycophenolate Mofetil,IL12A,3
Pitrakinra,IL4R,3
Methadone,BDNF,3
Lithium,"NR1D1,THRA",3
Mycophenolate Mofetil,IMPDH1,3
Methadone,NTRK2,3
"Artesunate,Primaquine,Pyrimethamine,Sulfadoxine","G6PD,IKBKG",3
Methadone,ANKK1,3
Methadone,DRD2,3
Methadone,NGF,3
"Lithium,Valproic Acid",,3
Lithium,TPH1,3
Cytarabine,CDA,3
Nicotine,CHRNA4,3
Muraglitazar,ADRB1,3
Olanzapine,GNB3,3
Olanzapine,HTR2A,3
Nortriptyline,ABCB1,3
Olanzapine,DRD3,3
Oxaliplatin,ABCB1,3
Nitroprusside,ACE,3
Acetylcholine,ACE,3
Nifedipine,SLC14A2,3
Olanzapine,CYP1A2,3
Midazolam,CYP3A4,3
Nemonapride,ANKK1,3
Verapamil,ABCB1,3
Spironolactone,ACE,3
Sumatriptan,GNB3,3
"Cisplatin,Cyclophosphamide,Doxorubicin,Methotrexate,Vincristine",ABCC3,3
Paroxetine,CYP1A2,3
Paroxetine,BDNF,3
Prasugrel,CYP2C19,3
"Cyclosporine,Mycophenolate Mofetil",ABCB1,3
Fluorouracil,WNT5B,3
Repaglinide,NEUROD1,3
Repaglinide,PAX4,3
Bucindolol,ADRA2C,3
Sulfamethoxazole,GCLC,3
Alkylating Agents,EGFR,3
Atenolol,LDLR,3
Tolbutamide,CYP2C9,3
Losartan,CYP2C9,3
Muraglitazar,REN,3
Muraglitazar,EDN1,3
Aspirin,P2RY1,3
"Clomipramine,Lithium,Nefazodone,Paroxetine,Venlafaxine",ABCB1,3
Aspirin,FSIP1,3
Aspirin,CEP68,3
Aspirin,PPARG,3
Aspirin,IL4,3
Aspirin,ADORA1,3
Aspirin,GP6,3
Aspirin,FCER1G,3
Aspirin,IL1B,3
Aspirin,TBXA2R,3
Aspirin,ITGA2,3
Aspirin,NTRK1,3
Aspirin,HNMT,3
Warfarin,CYP2C9,3
Sunitinib,VEGFA,3
"Raloxifene,Tamoxifen",,3
Erythromycin,ABCC2,3
"Raloxifene,Tamoxifen",ZNF423,3
Calcium,VDR,3
Aspirin,F13A1,3
"Citalopram,Escitalopram",FKBP5,3
Clopidogrel,CYP2B6,3
Desipramine,MC1R,3
Mycophenolate Mofetil,UGT1A9,3
Doxepin,CYP2C9,3
Fenofibrate,PPARA,3
Antidepressants,GRIK4,3
Hydrochlorothiazide,KCNJ1,3
Phenytoin,CYP2C9,3
Fluoxetine,CRHR1,3
Fluvoxamine,COMT,3
"Cyclosporine,Mycophenolate Mofetil",IL10,3
Mycophenolate Mofetil,SLCO1B3,3
Lovastatin,CETP,3
Pravastatin,ACE,3
Fluvastatin,ACE,3
"Atorvastatin,Quinapril",ACE,3
Olanzapine,FMO1,3
Olanzapine,FMO3,3
Thalidomide,ERCC1,3
Thalidomide,XRCC5,3
Warfarin,"PRSS53,VKORC1",3
Thalidomide,GSTT1,3
Fluvastatin,SREBF1,3
Simvastatin,SCAP,3
Abt-751,UGT1A4,3
Pravastatin,TLR4,3
"Folic Acid,Methotrexate",TLR4,3
"Ace Inhibitors, Plain",AGTR1,3
Pitavastatin,SLCO1B1,3
"Ace Inhibitors, Plain",ABO,3
"Ace Inhibitors, Plain",,3
Amphetamine,OPRM1,3
Antipsychotics,CYP2D6,3
Antipsychotics,RGS2,3
"Atenolol,Verapamil",NR1H3,3
Atorvastatin,UGT1A3,3
Azathioprine,AOX1,3
"Bevacizumab,Fluorouracil,Irinotecan,Leucovorin",SHMT1,3
"Bortezomib,Dexamethasone,Melphalan,Prednisone",CTLA4,3
"Bupropion,Nicotine",DRD1,3
Pravastatin,MTTP,3
Atorvastatin,MTTP,3
Nortriptyline,UST,3
Zidovudine,UGT2B7,3
Zidovudine,ABCC4,3
Simvastatin,ABCB1,3
Atorvastatin,ABCB1,3
Losartan,AGTR1,3
Corticosteroids,DCAF4,3
Corticosteroids,FKBP5,3
"Cisplatin,Cyclophosphamide",CYP2E1,3
Clozapine,HTR3A,3
Rosuvastatin,SLCO1B1,3
Dexmedetomidine,PRKCB,3
Dexmedetomidine,ADRA2A,3
Disulfiram,DRD2,3
Disulfiram,ANKK1,3
Diuretics,PDE4D,3
"Dolasetron,Granisetron",NOS1AP,3
"Calcein,Lopinavir",ABCC2,3
Lopinavir,ABCC2,3
"Folic Acid,Vitamin B-Complex, Plain",MTRR,3
Mitotane,CYP2B6,3
Atorvastatin,ABCG8,3
Midazolam,POR,3
Atorvastatin,CYP3A5,3
"Carboplatin,Paclitaxel",MAD1L1,3
Simvastatin,CYP3A4,3
Simvastatin,CYBA,3
Haloperidol,SLC6A5,3
Fluvastatin,CETP,3
Fluvastatin,ABCB1,3
Simvastatin,CETP,3
Pravastatin,HMGCR,3
Simvastatin,HMGCR,3
"Atorvastatin,Fluvastatin,Hmg-Coa Reductase Inhibitors,Lovastatin,Pravastatin,Simvastatin",HMGCR,3
Pravastatin,MTHFR,3
Hmg-Coa Reductase Inhibitors,CXCL5,3
Atorvastatin,TNF,3
Simvastatin,F3,3
Pravastatin,ABCA1,3
Pravastatin,NPC1L1,3
"Atorvastatin,Pravastatin,Simvastatin",ABCA1,3
Atorvastatin,SCARB1,3
Hmg-Coa Reductase Inhibitors,HMGCR,3
Pravastatin,LPL,3
Fenofibrate,APOA1,3
"Docetaxel,Gemcitabine,Paclitaxel,Platinum Compounds,Vinorelbine",CASP7,3
Clozapine,ABCB1,3
Candesartan,AGTR1,3
"Atenolol,Irbesartan",EDN1,3
Atenolol,AGT,3
"Amlodipine,Chlorthalidone,Lisinopril",ACE,3
Fenofibrate,SCARB1,3
Irinotecan,SLCO1B1,3
Irinotecan,ABCC2,3
Fenofibrate,CRP,3
Bupropion,SACM1L,3
Olanzapine,DRD2,3
Carbamazepine,GABRA1,3
Repaglinide,KCNQ1,3
Irinotecan,ABCG2,3
Fenofibrate,ABCA1,3
Captopril,ACE2,3
Benazepril,MTR,3
Dobutamine,ADRB1,3
Disulfiram,MTHFR,3
Enzymes,F12,3
