gene,type,level_of_evidence
REV3L,Efficacy,3
DLG5,Efficacy,3
PTEN,Efficacy,3
CYP19A1,Efficacy,3
CHIA,Toxicity,3
"UGT1A,UGT1A9",Toxicity,3
SLC30A9,Toxicity,3
HLA-DPB2,Toxicity,3
TSC1,Toxicity,3
THRA,Toxicity,3
CAPN10,Efficacy,3
PTGS1,Efficacy,3
ADIPOQ,Efficacy,3
SOD2,Toxicity,3
SLC22A4,Efficacy,3
SP1,"Efficacy,Metabolism/PK",3
PPARA,"Efficacy,Metabolism/PK",3
CELSR2,Efficacy,3
FTO,Efficacy,3
GSTT1,Efficacy,3
HRH3,Efficacy,3
TNFRSF10A,Efficacy,3
UGT1A6,Toxicity,3
CR1,Efficacy,3
HOMER1,Toxicity,3
GGCX,Dosage,3
HDAC1,Efficacy,3
,Metabolism/PK,3
SLC22A1,"Efficacy,Metabolism/PK",3
UGT1A9,Metabolism/PK,3
CHRNA7,Efficacy,3
CYP3A4,"Efficacy,Metabolism/PK",3
IL1RN,Efficacy,3
TLR9,Efficacy,3
TLR2,Efficacy,3
CD14,Efficacy,3
IL17A,Efficacy,3
CNPY4,Efficacy,3
IFNG,Efficacy,3
KCNQ1,Toxicity,3
IL10,Dosage,3
CMPK1,Efficacy,3
CYP2C19,Metabolism/PK,3
CYP4F2,Metabolism/PK,3
BCHE,Toxicity,3
ADRB2,Other,3
NTRK2,Efficacy,3
TRAF3IP2,Toxicity,3
TAPBP,Toxicity,3
ABCG2,Other,3
ABCG2,Metabolism/PK,3
AOX1,Metabolism/PK,3
RRAS2,Efficacy,3
RRM1,Toxicity,3
ALOX12,"Efficacy,Toxicity",3
UGT2B10,Metabolism/PK,3
PTGIR,Toxicity,3
OCRL,Other,3
PAPLN,Toxicity,3
CFAP44,Efficacy,3
PTGER2,Toxicity,3
CYP2A6,Metabolism/PK,3
VDR,Toxicity,3
DBH,Efficacy,3
PTGS1,Toxicity,3
THBD,Toxicity,3
CDK1,Toxicity,3
FGD4,Toxicity,3
PRKCE,Toxicity,3
BDKRB2,Efficacy,3
KCNT2,Toxicity,3
TRAF1,Efficacy,3
TNF,Efficacy,3
ALDH5A1,Efficacy,3
CCL2,Efficacy,3
CYP2C19,Toxicity,3
ALG10,Toxicity,3
FMO3,Efficacy,3
ACE,Toxicity,3
BCL2,Efficacy,3
GDNF,Efficacy,3
CYP3A5,Metabolism/PK,3
TLR3,Toxicity,3
EIF2AK4,Efficacy,3
IL23R,Toxicity,3
UGT2B7,Toxicity,3
SLC16A7,Efficacy,3
SLC47A2,Metabolism/PK,3
SLC22A1,Toxicity,3
FLT4,Efficacy,3
CA12,Other,3
NT5C3A,Efficacy,3
PTGES,Toxicity,3
SLCO2B1,Metabolism/PK,3
HNF4A,Dosage,3
AHR,Metabolism/PK,3
AQP2,Toxicity,3
ADAMTS1,Efficacy,3
TCF7L2,Toxicity,3
PTGER4,Toxicity,3
TNFRSF1B,Efficacy,3
OPRD1,Efficacy,3
CACNA1C,Toxicity,3
GRIN3A,Other,3
ARRB2,Other,3
ABCB1,Metabolism/PK,3
SLCO1A2,Metabolism/PK,3
GPR83,Efficacy,3
AGTR1,Toxicity,3
RORA,Efficacy,3
GLDC,Efficacy,3
CRHR2,Efficacy,3
CYP3A5,Toxicity,3
LEPR,Efficacy,3
SLCO1B1,Metabolism/PK,3
SLC1A1,Efficacy,3
CHAT,Efficacy,3
CYP3A43,Metabolism/PK,3
HLA-DRB3,Toxicity,3
G6PD,"Efficacy,Toxicity",3
SLC22A11,Efficacy,3
MICB,Efficacy,3
"IFNL3,IFNL4",Efficacy,3
FCGR3A,Other,3
SLC7A5,Toxicity,3
NAT1,Metabolism/PK,3
ATG16L1,Efficacy,3
LEPR,Toxicity,3
UGT1A,Metabolism/PK,3
CYP2C9,Metabolism/PK,3
POR,Efficacy,3
HSD11B1,Metabolism/PK,3
ABCB5,Toxicity,3
CD58,Efficacy,3
CYP2C19,Other,3
ILKAP,Efficacy,3
TET2,Efficacy,3
FBXL17,Efficacy,3
CSMD1,Efficacy,3
SLIT1,Efficacy,3
DIAPH3,Efficacy,3
UGGT2,Efficacy,3
ANKFN1,Efficacy,3
SLC22A3,Efficacy,3
PON1,Efficacy,3
,Dosage,3
CYP1A2,Metabolism/PK,3
KCNJ6,Dosage,3
POLG,Toxicity,3
GALNT17,Efficacy,3
MLLT3,Efficacy,3
TNFSF11,Efficacy,3
TNFRSF11B,Toxicity,3
FAAH,Toxicity,3
CNR1,Toxicity,3
CYP2D6,"Dosage,Toxicity",3
CYP2B6,Metabolism/PK,3
ECT2L,Efficacy,3
NFATC2,Toxicity,3
KCNIP4,Toxicity,3
GSR,Toxicity,3
ATP7B,Toxicity,3
SCN10A,Toxicity,3
CHRNA5,Efficacy,3
CXCL8,Toxicity,3
IL13,Toxicity,3
PTPRD,Efficacy,3
UGT2B7,Dosage,3
NR1I2,Toxicity,3
LGR5,Efficacy,3
FMO5,Efficacy,3
FDPS,Other,3
GRIA3,Toxicity,3
GNB3,Other,3
FSHR,Efficacy,3
SCNN1B,Toxicity,3
TANC2,Efficacy,3
IL10,Toxicity,3
CYP2B6,"Toxicity,Metabolism/PK",3
CHRNA4,Efficacy,3
CHRNA3,Toxicity,3
ABCC5,Toxicity,3
ABCG1,Toxicity,3
TNFRSF11A,Toxicity,3
PLCG1,Toxicity,3
NOS3,Toxicity,3
PEAR1,"Efficacy,Toxicity",3
CES1P1,Efficacy,3
CYP4F2,Other,3
VKORC1,Efficacy,3
CYP19A1,Other,3
NQO1,Dosage,3
KDR,Efficacy,3
FCER1A,Efficacy,3
SELE,Efficacy,3
LRRC15,Efficacy,3
DRD3,Metabolism/PK,3
ST13,Efficacy,3
FGF2,Efficacy,3
ADCY2,Efficacy,3
NRG1,Efficacy,3
UGT1A8,Toxicity,3
FCGR2A,Efficacy,3
FCGR3A,Efficacy,3
ATP2B1,Efficacy,3
GRM3,Toxicity,3
NRXN1,Efficacy,3
ARMS2,Efficacy,3
CAT,Other,3
IL13,Efficacy,3
TLR7,Efficacy,3
CYP3A4,Metabolism/PK,3
AMPD1,Toxicity,3
CYP3A5,Efficacy,3
HLA-DPA1,Efficacy,3
ATP5F1E,Efficacy,3
GRIN2B,Efficacy,3
HLA-E,Efficacy,3
PLCB1,Efficacy,3
GIPR,Toxicity,3
TYMS,Toxicity,3
CYP19A1,Toxicity,3
HOTAIR,Efficacy,3
MALAT1,Efficacy,3
H19,Efficacy,3
GRID2,Efficacy,3
CTNNB1,"Efficacy,Toxicity",3
GRM7,Efficacy,3
REV1,Efficacy,3
IRS1,Efficacy,3
FHIT,Efficacy,3
GAPVD1,Efficacy,3
ADRA1A,Efficacy,3
EPHX1,Efficacy,3
SLC28A2,"Efficacy,Toxicity",3
NRAS,Efficacy,3
RAF1,Efficacy,3
ACSS2,Efficacy,3
GPX5,Efficacy,3
PROC,Dosage,3
ADRB1,Dosage,3
SLC28A1,Toxicity,3
ABCC10,Metabolism/PK,3
CCHCR1,Toxicity,3
TCF19,Toxicity,3
POLR3G,Toxicity,3
GRIN2B,Dosage,3
DAOA,Toxicity,3
DUSP1,Efficacy,3
HTR1A,Toxicity,3
TAS2R16,Toxicity,3
SLC22A3,Metabolism/PK,3
POR,Metabolism/PK,3
PROX1,Toxicity,3
LIPC,Efficacy,3
FKBP5,Other,3
SLC22A8,Metabolism/PK,3
RHOA,Efficacy,3
PYGL,Efficacy,3
ULK3,Efficacy,3
TBX21,Efficacy,3
DDC,Toxicity,3
ARRB2,Toxicity,3
RRM1,"Efficacy,Toxicity",3
ABCB1,"Dosage,Efficacy",3
NAT2,"Toxicity,Metabolism/PK",3
ADGRL3,Efficacy,3
IGFBP3,Efficacy,3
CYP2C19,"Efficacy,Metabolism/PK",3
BDKRB1,Efficacy,3
TBXAS1,Toxicity,3
OR52E2,Efficacy,3
ASIC2,Efficacy,3
COL1A1,Dosage,3
UGT1A4,Metabolism/PK,3
SLC22A1,Efficacy,3
CFH,Efficacy,3
UGT2B7,"Efficacy,Toxicity",3
CDA,Metabolism/PK,3
NT5C3A,Metabolism/PK,3
SH2D5,Efficacy,3
TENT4A,Efficacy,3
DCTD,Efficacy,3
CDC5L,Efficacy,3
AKR1C3,Metabolism/PK,3
AKR1C4,Metabolism/PK,3
TAAR6,Efficacy,3
NT5C1A,Other,3
COL1A1,Toxicity,3
NRP1,Efficacy,3
INSR,Efficacy,3
CPA2,Toxicity,3
PSMA4,Metabolism/PK,3
CHRNA3,Metabolism/PK,3
PRKCB,Toxicity,3
NR1I3,Metabolism/PK,3
UGT2B7,Metabolism/PK,3
CYP2A6,Efficacy,3
CDKAL1,Efficacy,3
VAC14,Toxicity,3
DPYD,Other,3
BCHE,Efficacy,3
CYP2C9,"Efficacy,Metabolism/PK",3
ACHE,Efficacy,3
DROSHA,Toxicity,3
MAP4K4,Toxicity,3
UGT1A9,Other,3
RBFOX1,Efficacy,3
MGAT4A,Efficacy,3
ERICH3,Efficacy,3
RXRA,Toxicity,3
LRP2,Toxicity,3
GSTA1,Metabolism/PK,3
NUMA1,Efficacy,3
PICALM,Efficacy,3
SREBF1,Toxicity,3
HNF4A,Toxicity,3
NR1I3,Toxicity,3
SLC22A16,Other,3
CXCL12,Efficacy,3
SLCO1B3,"Dosage,Toxicity",3
STAT3,Efficacy,3
PICK1,Other,3
MTRF1L,Efficacy,3
RGS17,Efficacy,3
PON2,Efficacy,3
CTNNA3,Efficacy,3
CACNA1A,Efficacy,3
DRD1,Other,3
HFE,Efficacy,3
TF,Efficacy,3
SERPINE1,Toxicity,3
TPMT,Other,3
EPM2A,Efficacy,3
ATG5,Efficacy,3
CERS6,Efficacy,3
CYP24A1,Metabolism/PK,3
ACY3,Efficacy,3
NPHS1,Efficacy,3
NCOA1,Toxicity,3
LRMDA,Efficacy,3
GALR1,Efficacy,3
DOT1L,Efficacy,3
CHRM2,Other,3
ARID5B,Metabolism/PK,3
CES1,Toxicity,3
CES1,Metabolism/PK,3
SLC6A12,Toxicity,3
SLC22A1,"Dosage,Toxicity",3
CHRNA5,Metabolism/PK,3
CHRNA5,Toxicity,3
CHRNB2,Toxicity,3
CHRNB2,Other,3
TNF,Toxicity,3
CHRNB4,Toxicity,3
CYP1A1,Metabolism/PK,3
KCNE1,Toxicity,3
PIK3CA,Toxicity,3
PTEN,Toxicity,3
GSTM1,"Efficacy,Toxicity",3
UGT1A7,Toxicity,3
CYP27B1,Efficacy,3
MDM4,Efficacy,3
CYP1B1,Efficacy,3
